Item,Language,Participant,Gender,Age,Rating,Bias
model,Hungarian,hu_1,male,25-35,2,female
model,Hungarian,hu_2,male,45-55,2,female
model,Hungarian,hu_3,male,25-35,0,female
model,Hungarian,hu_4,male,35-45,2,female
model,Hungarian,hu_5,male,25-35,0,female
model,Hungarian,hu_6,male,25-35,2,female
model,Hungarian,hu_7,female,35-45,2,female
model,Hungarian,hu_8,female,45-55,1,female
model,Hungarian,hu_9,male,25-35,1,female
model,Hungarian,hu_11,female,45-55,0,female
model,Hungarian,hu_12,male,25-35,1,female
model,Hungarian,hu_14,female,25-35,0,female
model,Hungarian,hu_15,female,35-45,0,female
model,Hungarian,hu_16,female,25-35,1,female
model,Hungarian,hu_17,female,45-55,2,female
model,Hungarian,hu_18,female,45-55,0,female
model,Hungarian,hu_19,female,25-35,0,female
model,Hungarian,hu_20,female,25-35,2,female
model,Hungarian,hu_21,female,25-35,0,female
model,Hungarian,hu_22,male,25-35,2,female
model,Hungarian,hu_23,male,25-35,1,female
model,Hungarian,hu_24,male,25-35,2,female
soldier,Hungarian,hu_1,male,25-35,-3,male
soldier,Hungarian,hu_2,male,45-55,-2,male
soldier,Hungarian,hu_3,male,25-35,-2,male
soldier,Hungarian,hu_4,male,35-45,-2,male
soldier,Hungarian,hu_5,male,25-35,-2,male
soldier,Hungarian,hu_6,male,25-35,-2,male
soldier,Hungarian,hu_7,female,35-45,-2,male
soldier,Hungarian,hu_8,female,45-55,-2,male
soldier,Hungarian,hu_9,male,25-35,-2,male
soldier,Hungarian,hu_11,female,45-55,-1,male
soldier,Hungarian,hu_12,male,25-35,-2,male
soldier,Hungarian,hu_14,female,25-35,0,male
soldier,Hungarian,hu_15,female,35-45,-1,male
soldier,Hungarian,hu_16,female,25-35,-2,male
soldier,Hungarian,hu_17,female,45-55,-2,male
soldier,Hungarian,hu_18,female,45-55,-1,male
soldier,Hungarian,hu_19,female,25-35,-2,male
soldier,Hungarian,hu_20,female,25-35,-3,male
soldier,Hungarian,hu_21,female,25-35,-1,male
soldier,Hungarian,hu_22,male,25-35,-2,male
soldier,Hungarian,hu_23,male,25-35,-3,male
soldier,Hungarian,hu_24,male,25-35,-2,male
pathologist,Hungarian,hu_1,male,25-35,0,male
pathologist,Hungarian,hu_2,male,45-55,-1,male
pathologist,Hungarian,hu_3,male,25-35,0,male
pathologist,Hungarian,hu_4,male,35-45,-1,male
pathologist,Hungarian,hu_5,male,25-35,-2,male
pathologist,Hungarian,hu_6,male,25-35,-1,male
pathologist,Hungarian,hu_7,female,35-45,-1,male
pathologist,Hungarian,hu_8,female,45-55,-2,male
pathologist,Hungarian,hu_9,male,25-35,-2,male
pathologist,Hungarian,hu_11,female,45-55,0,male
pathologist,Hungarian,hu_12,male,25-35,-1,male
pathologist,Hungarian,hu_14,female,25-35,0,male
pathologist,Hungarian,hu_15,female,35-45,-1,male
pathologist,Hungarian,hu_16,female,25-35,0,male
pathologist,Hungarian,hu_17,female,45-55,0,male
pathologist,Hungarian,hu_18,female,45-55,0,male
pathologist,Hungarian,hu_19,female,25-35,0,male
pathologist,Hungarian,hu_20,female,25-35,-2,male
pathologist,Hungarian,hu_21,female,25-35,0,male
pathologist,Hungarian,hu_22,male,25-35,-2,male
pathologist,Hungarian,hu_23,male,25-35,0,male
pathologist,Hungarian,hu_24,male,25-35,-1,male
CEO,Hungarian,hu_1,male,25-35,-1,male
CEO,Hungarian,hu_2,male,45-55,-1,male
CEO,Hungarian,hu_3,male,25-35,-1,male
CEO,Hungarian,hu_4,male,35-45,-1,male
CEO,Hungarian,hu_5,male,25-35,0,male
CEO,Hungarian,hu_6,male,25-35,-1,male
CEO,Hungarian,hu_7,female,35-45,-1,male
CEO,Hungarian,hu_8,female,45-55,-2,male
